dd	昌|昍
dm	明
da	止
dt	閑|杲|喿
dw	曼
df	景|炅|炚
dy	量
dz	昇|昜
dl	閏
dj	早
dx	旲|旻
di	即
de	旦
dk	門
db	是
dh	昆
ds	時
do	閣
dc	既
dr	暴
du	巴|旵
dg	衰|艮
dq	冒|闌
dn	||ㄚ|ㄙ|ㄝ|ㄟ
dp	晃
dv	星
d;	最
d,	||曷
mm	朋
ma	肌|冗|貝
mt	采
mw	愛|爰
mf	炙
my	肚
mz	爭
ml	爵
mj	軍
mx	愛|奚
mi	央
me	且|肛|囗
mk	肊
mb	肉|冢
mh	悉
ms	用
mo	向
mc	助
mr	冊|皿|血
mu	目
mg	妥|罔
mq	番
mn	岡|ㄅ|舀
mp	丹|孚
mv	冥|冞
m;	同
m,	周
ad	曾|鈤
am	帶|鈅
aa	交
at	朵|桀
aw	發
af	然|鈥
ay	堅|釷
az	弟|鉌
al	公|凡
aj	針
ax	父|釱|契
ai	丫|卯|卬
ae	登|釭
ak	劉|釔|鉺
ab	聚|象
ah	怨|鈊
ao	釦
ac	分|鉐
ar	鉗
au	釓|兌
ag	釹|褱
aq	留|鈿|鉬
an	ㄒ|ㄘ|絜
ap	釙|釨
av	粲|銤
a;	風
a,	翁
td	杳
tm	相|朿
ta	賴|机|朳
tt	林
tw	皮
tf	杰|柬
ty	杜
tz	才
tl	寸|松
tj	末
tx	敕|樊|夬|杕
ti	束|析
te	本|杠
tk	剌|栮
tb	來
th	朼|杺
ts	杽|韋
to	杏|可
tc	柘
tr	柑
tu	札
tg	囊
tq	東|相
tn	查|ㄉ|˙|棩
tp	朴|李|杍
tv	欶
t;	屬
t,	禁
wd	汨|汩|沓
wm	脊
wa	淦|汃
wt	沐
ww	雙|沝
wf	加
wy	圣
wz	沙
wl	叉|梁
wj	汁
wx	汏
wi	沖|充
we	江
wk	洱
wh	沁
ws	溥|夆
wo	各|呇
wc	沰
wr	泔
wu	汕|兆
wg	汝
wq	沺
wn	淵|||ㄝ|ㄟ|ㄧ
wp	冬
wv	漁
w;	蚤
w,	洋||
fm	肖
fa	賞
ft	米|炑
ff	炎
fy	灶
fz	少
fl	瓜
fx	尖
fi	爪
fe	丕|灴
fk	鄰
fb	尐
fh	忝
fs	半
fo	否|尚
fc	勞
fr	蓋
fu	光
